LUAD	FDR_LUAD	LUSC	FDR_LUSC
ASB5	0.321641102	SLCO3A1	0.270382445
SPINT4	0.321645331	GJC3	0.270527724
LEAP2	0.322166694	SNORA71C	0.270550059
LOC100271832	0.322166694	P4HA2	0.270688389
ARL8A	0.322304709	CYP11B2	0.271028775
OR51I2	0.322447756	TATDN3	0.271099455
ZFP14	0.322466245	BEND5	0.271401302
NXNL2	0.322466245	OR13D1	0.271605765
BAP1	0.32254545	LOC283267	0.272485501
TAS2R8	0.322866744	BIVM	0.272485501
EPHA2	0.323068249	LOC100240726	0.272524882
CT45A3	0.323421674	EBAG9	0.272660597
CABIN1	0.323976463	RNF5P1	0.273158167
PTPRK	0.324416308	OCM2	0.273720749
C17orf98	0.324417469	IFT122	0.273950422
DUT	0.324800786	ZNF688	0.273950422
AP3S2	0.324869888	REG1P	0.274000792
KIAA0100	0.325009464	MMGT1	0.274071943
GOPC	0.325461534	NHLH1	0.274755501
EIF2AK4	0.325496978	GCNT2	0.274846556
EID3	0.325540776	ZCCHC10	0.274881982
ZNF454	0.325825409	TNMD	0.275054699
MED24	0.32625672	OR2T3	0.275201113
SV2B	0.326461247	GNB2L1	0.275201113
HLA-F	0.326985148	C8orf74	0.275384646
C20orf29	0.327232898	USP32	0.275914058
PPAN-P2RY11	0.327436686	PLIN1	0.275930196
STARD6	0.327611527	PSTPIP1	0.275930196
TACC2	0.327647703	TTC17	0.276459927
CHP2	0.327656736	SPAM1	0.276459927
BTBD8	0.328296761	CCDC116	0.276676547
CLK3	0.328674901	C22orf45	0.276993479
CCDC116	0.328717005	NEAT1	0.277235117
HSD17B14	0.328732878	ZNRF3	0.277327825
CXorf65	0.328927503	GRIP2	0.277854994
C14orf68	0.329090116	POU2F1	0.27816969
CTSL3	0.329110714	KAZALD1	0.278424818
PTP4A1	0.329269948	RWDD2A	0.27844121
BTBD9	0.329269948	ZCCHC4	0.278447362
MED22	0.329324497	RUNDC1	0.278861954
SNORA40	0.329324497	SCARB1	0.278876883
MGC3771	0.329350299	PBX1	0.278959948
NAT15	0.329375348	GPHN	0.279058631
DPH3B	0.329904039	ZNF208	0.279215969
COMMD6	0.329941965	SCD	0.279216225
BFSP1	0.33059192	SLC4A10	0.279261079
PPP1R3F	0.330993846	NCRNA00120	0.279293211
ZNF462	0.330993846	SNORA54	0.279500871
NRP1	0.331246175	MSX2P1	0.279547407
GLS	0.331829287	CLEC2B	0.27974841
HTR7	0.331898114	C12orf59	0.279783982
PRPH2	0.331927881	UBOX5	0.279788437
PIK3CD	0.332361696	COX6A2	0.2799066
NEAT1	0.332638526	ARNTL	0.280087795
LOC55908	0.332662281	MYL1	0.280109524
MRPS36	0.33272345	ARMC7	0.280227238
SH3BP1	0.332873621	ZNF117	0.280286618
RNF138P1	0.332969199	XBP1	0.280543989
C2orf57	0.333170804	ATAD1	0.280601597
TANK	0.333196806	ZXDB	0.280609025
ZNF770	0.333196806	RAD17	0.280800278
CXorf58	0.33327957	COL6A1	0.280913599
C16orf80	0.333346851	PLEKHF1	0.281125432
S100A8	0.333641297	OR2T12	0.281324797
ADD2	0.335100216	RAB11FIP5	0.281789872
PHYH	0.335364816	LOC653544	0.281806061
ELSPBP1	0.335450698	CFDP1	0.282059235
CLEC4C	0.33575363	CCDC160	0.282259287
SPOPL	0.335839862	MUC16	0.282313672
CCDC88B	0.33599011	LOC151534	0.282670462
DPRX	0.336138272	HOXB6	0.282670462
LIPE	0.336362209	PEX7	0.282733307
GBA2	0.336437816	CCDC106	0.282807192
ZNF655	0.336515009	CEACAM20	0.282864831
NAT6	0.336646243	SRRM1	0.282878767
CCR7	0.33673942	UBXN6	0.28295909
BPTF	0.336767631	GHR	0.283134383
GMPR2	0.336898106	OR1M1	0.283320735
CXCR7	0.337417525	CD2AP	0.283439569
KLHL36	0.33759218	OR51T1	0.283715056
ISOC1	0.33819046	PYY	0.284110074
SCN9A	0.338217245	ARHGAP4	0.284528536
MBLAC2	0.338261247	ATP6V0E2	0.284722622
LOC157627	0.338842287	MCEE	0.284864738
EXOC8	0.339066157	SFRS12	0.284891171
ZNF19	0.339184332	ATP5SL	0.285027156
PDZD8	0.339198114	02-Sep	0.285223983
NTF4	0.339740055	RPL31P11	0.285612793
CYB5RL	0.340106177	SNORA53	0.286107928
TRPC7	0.341009853	ABLIM2	0.28617457
ARL3	0.341438109	HECTD3	0.28647794
C17orf99	0.341438109	OR2L2	0.286800622
PLSCR3	0.34210641	DNHD1	0.286927098
IDS	0.342115805	AMOT	0.287308237
ZNF286B	0.342336219	FAM166A	0.287440583
ZCCHC11	0.342429075	HNRNPA0	0.287720899
MORN2	0.342604578	FKBP1AP1	0.287783461
ZCCHC10	0.342644095	CEP164	0.287783461
SSBP3	0.342730777	C6orf226	0.287904913
LILRB4	0.342870999	SNORA23	0.288147064
C3	0.343036701	KLHDC10	0.288402589
ING2	0.343048114	ZNF804A	0.288697896
FAM127C	0.34312608	ZNF266	0.288724978
CRYBB1	0.343240148	ATP5L2	0.288738939
NRARP	0.34341498	MVD	0.289096483
RBPJ	0.343557167	ARPC5	0.289439281
SNORD15A	0.344029916	PSORS1C1	0.289548908
TNFRSF11B	0.344029916	FAM82B	0.289635945
P2RY11	0.344417202	MCPH1	0.289718659
ALS2CR8	0.34444867	CD207	0.289941483
C4orf33	0.344828685	KRTAP4-11	0.290144811
SGPP1	0.345284819	SNORA70	0.290197772
PPIP5K2	0.345284819	OR5E1P	0.290334849
OR4F6	0.345514139	MIER2	0.290767063
DNAH8	0.345720876	GALNT13	0.29077032
CNPY4	0.345748707	METTL7B	0.290856812
ST5	0.346010369	EIF1AY	0.291307456
C19orf71	0.346297903	HADH	0.291664653
OCA2	0.346316072	NPIP	0.291839751
DNAJC19	0.346993372	RGS1	0.292404883
C3orf34	0.346993372	FTH1	0.292513194
SLC41A3	0.347064869	AADAT	0.29317426
MPP3	0.347064869	OXCT2	0.29344544
OR10W1	0.347488067	C20orf135	0.293461274
H2AFV	0.347564695	TMEM176B	0.293594281
STARD5	0.347980915	RNF169	0.293759146
MCART3P	0.34805577	FKSG83	0.293860192
SOCS4	0.34847004	SNORA27	0.294097005
NBPF9	0.348477172	RAB6A	0.294398526
RIT2	0.349618637	CXXC4	0.294495584
KIF13B	0.350051604	FAU	0.294621873
HSPBAP1	0.350634763	SMARCC2	0.294644204
OR9K2	0.350704341	USP20	0.294782742
KIAA1257	0.350911993	TMEM25	0.294899326
MED12	0.351193765	PPP1R1A	0.295688144
C10orf120	0.351228993	FYB	0.29579344
FXN	0.351228993	LOC100128822	0.296224771
CADM2	0.351253722	OMA1	0.297385043
BTBD7	0.352083578	HS1BP3	0.297570241
LMO3	0.352134188	YAF2	0.297962658
XIST	0.352314858	OR52A5	0.298069726
HTRA4	0.352314858	FAM74A3	0.298381728
RPL15	0.352314858	ZSWIM3	0.298778759
CORO1A	0.35242627	PCBP3	0.298955338
TBCK	0.352640504	PRSS42	0.29900738
LOC100132831	0.354138699	PHF10	0.299126354
MBIP	0.354402691	TUBB6	0.299440325
MTHFS	0.354429598	FMN2	0.299593928
THAP1	0.354870474	EDF1	0.299594178
SAMM50	0.354986216	GXYLT2	0.299741261
LYAR	0.355653418	TAS2R14	0.299788801
C19orf60	0.355653418	OR7E24	0.299886287
OR8S1	0.356089611	STXBP5	0.299901569
RLN1	0.35617851	RPA4	0.300253916
MCM9	0.356542648	SPATA8	0.300333226
FLJ10661	0.356555462	CDKN2AIP	0.300606604
ATXN10	0.356606832	TBC1D26	0.30075336
MRFAP1L1	0.357319477	PRR16	0.301386332
FICD	0.357473764	OBSCN	0.301464572
TAS2R13	0.357501492	SMN1	0.301766327
BEX1	0.357589829	CASC3	0.302353089
MIPEP	0.357611866	VPS4A	0.302437363
USP20	0.357611866	ZNF580	0.302437363
STRN	0.357611866	RBM11	0.302533387
SHISA5	0.357775923	LHPP	0.302683478
C7orf26	0.357836492	ZNF547	0.302874785
NXF1	0.358044147	RPS20	0.303277032
PAF1	0.358394944	ZNF568	0.303655775
OR2A2	0.35848147	ZNF451	0.303664799
IL31	0.358495679	SPCS1	0.303741137
TP53TG5	0.358635159	OMG	0.303741137
DBX2	0.358713071	USP9Y	0.303844669
ZNF619	0.358853128	MIA3	0.303844669
EML3	0.358955202	ERLEC1	0.304010514
BAALC	0.35937264	ZNF169	0.304229997
COLEC11	0.359459035	KRT79	0.304562738
VKORC1L1	0.359759967	ZPBP	0.304669283
AZU1	0.359891234	MCART2	0.30469142
UTY	0.360074017	SLC22A12	0.304827162
FLJ44054	0.360119758	CDV3	0.305024165
PHLPP1	0.360727516	ZNF83	0.305114719
NCRNA00119	0.361182397	PDPN	0.305180449
CTNND1	0.361648897	TRAF1	0.30556077
PLAG1	0.361701441	DPYSL3	0.306090715
CCDC67	0.361978373	KATNAL2	0.306226941
PER4	0.362043461	C11orf49	0.306268205
ZNF432	0.362289709	ZNF84	0.306426295
DCUN1D2	0.362385098	CT62	0.306426295
CCDC71	0.362824973	USP36	0.307057036
GLYR1	0.362839844	SIT1	0.307058625
PCDHGB4	0.362898271	OPN1MW	0.30713298
FAM98C	0.362988999	OSGEP	0.307163374
STOX1	0.363036584	RREB1	0.307669734
RLIM	0.363187123	OGG1	0.307762382
ASTN1	0.363342052	RAB21	0.308171304
ERN1	0.363782183	KCNMB4	0.308470013
CYP3A5	0.363960027	RAB3IL1	0.308504918
DKFZP434K028	0.364050021	GPATCH3	0.308968379
NDUFB7	0.364134207	BMI1	0.308968379
MAPK9	0.364301798	ACCN1	0.309424598
LOC152024	0.364489546	L3MBTL2	0.309589578
MURC	0.364856405	CCDC61	0.30962523
MAP3K5	0.365508958	ZNF664	0.310014839
MLF1	0.36553238	KIAA1432	0.310212372
HUS1B	0.366104939	BRD2	0.310321038
B3GNT9	0.366771734	COL25A1	0.310479636
HLA-H	0.366771734	LOC283914	0.310496153
SCARNA2	0.366772443	ZNF528	0.310514303
ABO	0.367071068	TLR6	0.310514303
OR2A14	0.367198842	ISG20	0.310840437
KCNC3	0.367296272	RNASEH2B	0.311051428
CDK6	0.367600015	SULT6B1	0.311151982
VAT1L	0.367809387	C20orf4	0.311159585
HOMER2	0.367888788	SPIN1	0.31141328
CHCHD7	0.368119993	KLRC3	0.31141328
GRXCR2	0.368370813	KIAA0564	0.311648947
C2orf74	0.368524811	CRLF3	0.312167061
HOXB4	0.368708617	LACE1	0.312167336
ZNF568	0.368714054	CCDC102A	0.312167336
KDM2B	0.368855423	ADK	0.312248062
HIATL2	0.369693356	RER1	0.312324407
RIBC2	0.369874581	SNX4	0.312531835
ZNF43	0.370414445	ANAPC4	0.312560359
SH3KBP1	0.370560764	CALM2	0.312768368
LOC440957	0.370723698	NBPF22P	0.312784593
SPIRE1	0.371203513	EVPLL	0.312894327
PRG1	0.371568838	HACE1	0.313185694
FABP12	0.371665805	C1QTNF1	0.313222806
RPL21	0.371923551	LMAN2	0.313274416
GATAD2B	0.372271625	CYB5R1	0.313521914
CLK4	0.372412236	TRIP12	0.313720813
GPR149	0.372454216	KIAA1324	0.31375345
FLRT2	0.372746826	C19orf70	0.314090699
DEDD2	0.37275941	KLRC2	0.314172629
H2BFXP	0.372869159	PPP1R11	0.314213389
TMEM175	0.372946791	MARVELD1	0.314441567
ACPT	0.372950545	C7orf46	0.314480817
FOXD4L2	0.373182455	CRYBA4	0.314694314
ZNF268	0.373604753	CDC16	0.315164401
PDE6G	0.373739033	LOC91316	0.315270999
CDK20	0.373840308	CD19	0.315391001
SERPIND1	0.373930424	ZNF516	0.316426347
CALM2	0.374011233	ZNF629	0.316568052
RNF14	0.374011233	LOC100128554	0.316793096
C9orf106	0.37409726	CBX6	0.316794598
C11orf34	0.3743994	BCAT2	0.316850227
AS3MT	0.374858962	PRINS	0.317082308
OR10A5	0.375272672	ZNF362	0.317136909
KCNIP2	0.375301453	AGFG1	0.317490371
SCMH1	0.375474324	ATF6	0.317596268
ADAM23	0.375474324	OTUD7A	0.317969028
EDEM2	0.375849469	THAP5	0.318058593
LEUTX	0.37589841	OR52I2	0.318058593
TSSK4	0.375994097	PCDHA2	0.318284026
ZNF385A	0.376125424	FOLR4	0.318398798
FAM100A	0.376483347	ZC3H7B	0.319153238
LIPT1	0.377187725	ZFPM1	0.31992236
SMN1	0.377405252	CDH13	0.320046693
CHST5	0.378042165	LOC339047	0.320687477
NUDT4	0.378859512	FSCN3	0.320741591
ESM1	0.379010696	TNKS	0.32091173
OR10P1	0.379116854	OR13C5	0.321335062
GSTTP1	0.379326281	RNF20	0.322832523
ARRDC5	0.379510277	EPSTI1	0.323113083
NAMPT	0.379576033	OR5B2	0.323471259
EIF4E2	0.380066938	LOC338588	0.324482677
PSMB11	0.380192104	AIG1	0.324649154
OR2D2	0.380192104	AHRR	0.324649154
RPL22	0.38053127	JMY	0.324863942
ING4	0.380641379	MFSD1	0.3249447
SPHK2	0.380856488	GRID2IP	0.325117103
TMEM155	0.380878264	C14orf165	0.32534178
NLRX1	0.380970545	RAB3C	0.325353658
FBXO39	0.381010166	OR6S1	0.325534996
SLC25A38	0.381208299	TMPRSS6	0.325627808
MLN	0.381208299	ERN2	0.325650067
TMEM31	0.381464227	ZMYM6	0.325650067
CCDC126	0.381656785	SLC27A6	0.326322629
NAGPA	0.381656785	C7orf71	0.326322629
C22orf9	0.381879705	SLC17A8	0.32634205
EXT2	0.381892259	EEF2	0.326680748
VWA5B1	0.381961901	DGCR11	0.326828444
ATG16L2	0.382146109	ADAM10	0.326852249
GSX1	0.382147721	BEGAIN	0.326923923
CFH	0.382365106	PPM1A	0.327240893
LOC415056	0.382442528	NPTN	0.327252632
KLK10	0.382590242	RSPRY1	0.327328361
DYNLL2	0.382667316	RNU11	0.327412953
CAMLG	0.382839317	LOC100129550	0.327594818
C6orf132	0.383026567	BGLAP	0.327624869
NDUFS7	0.384065448	ZNF257	0.328839101
TMEM86A	0.384065448	FLOT2	0.329844374
SDCCAG1	0.384065448	C9orf91	0.32991485
SRD5A2	0.384065448	GPC6	0.329926177
LPPR1	0.384065448	OR1L1	0.329926177
RBM5	0.384105677	RRP8	0.330069448
C5orf36	0.384513931	SUMO1P1	0.330210225
TMLHE	0.384538455	FBXO10	0.330309932
SOX6	0.384774559	LOC100271831	0.330558251
BZRAP1	0.385971907	PGA4	0.330564233
TAS2R3	0.386732902	ZNF828	0.330630788
KRTAP1-5	0.387089708	SNORA75	0.330760777
EPS8L2	0.38709003	SFRS4	0.331057801
NDUFAF1	0.387506195	THNSL2	0.331465462
BCL2L1	0.388256847	DNAJC24	0.331761441
ARMCX3	0.388977933	ATP5O	0.33180263
CCDC88C	0.389537933	ZFAND2B	0.332029286
CYB5R1	0.389586355	NANS	0.332031652
SELL	0.389586355	MED1	0.332031652
SP4	0.389652874	ZNF193	0.332108582
MT1G	0.389958838	LCE2A	0.332468925
CDR1	0.39022136	OR2AK2	0.33253023
ZKSCAN2	0.390271022	TTTY15	0.332750315
SPDYE4	0.390696254	SCN10A	0.333216357
DYNC1I2	0.391363045	LOC728024	0.333558441
ROPN1B	0.391424345	PLEKHA2	0.33384506
LOC80154	0.391495552	MGST1	0.333894759
DPH1	0.391500434	C19orf71	0.334001283
COG8	0.391500434	ALG11	0.334204088
SNORA44	0.391590607	KRTAP4-9	0.334361421
BEND4	0.391687368	GAGE12F	0.33463271
GOLGA6C	0.391889879	KCNG4	0.334741972
VPS13A	0.392022738	CHAD	0.33564711
CA8	0.392102492	ZFC3H1	0.335961978
PSKH2	0.392487695	C17orf46	0.336600874
METAP2	0.39250392	PRKD2	0.337039885
TMEM192	0.392516289	OR3A1	0.3371675
TMCO5A	0.392626959	SHISA5	0.3372575
NBPF16	0.392705896	KRTAP10-4	0.337661997
SH2D7	0.393127556	SERPINA7	0.337661997
SDC3	0.393127556	FAM92A3	0.337998233
TRAM1L1	0.393255572	SLC25A19	0.338025777
SNORA5B	0.393328802	LOC100272228	0.338059057
LOC285045	0.393636548	CHST10	0.338380301
PLG	0.393790049	PHIP	0.338803347
FLJ43859	0.394108412	NFKB2	0.33909681
PFDN1	0.394883478	SNORA44	0.33927216
TXNDC16	0.395175852	C1orf212	0.339627298
MIMT1	0.395355774	C15orf53	0.339629701
LMF1	0.395571517	DNAJC25-GNG10	0.340282492
CCDC155	0.395892947	C11orf30	0.340849839
SPATA3	0.396446661	FAM165B	0.340980762
DEFB119	0.396446661	CPXCR1	0.341010201
WRB	0.396852265	ZBTB10	0.34137091
OR1L6	0.396855033	APBB3	0.341624579
SNORA11	0.396982332	ZNF782	0.342203433
DSCAML1	0.397140103	KSR1	0.343705514
HAO2	0.397799921	MORN4	0.343857418
ARL6IP4	0.397799921	SOAT2	0.344152293
SULT1A3	0.398112425	OR2A12	0.344929837
LOC286359	0.398389674	C20orf118	0.345189899
KLHL13	0.398547671	CRYBB2	0.345689742
CYorf15B	0.398963162	DNAJC16	0.345690236
OR3A4	0.400022363	VPS37C	0.345734795
NPHS2	0.400544603	UMOD	0.345950913
C20orf71	0.400915564	ZNF830	0.346007446
TM9SF2	0.401102089	PDS5A	0.346029677
C4orf23	0.401103228	ATOX1	0.346287246
C3orf63	0.401840091	APOL5	0.346469456
PRRG4	0.402000006	GSTO1	0.346471466
GUCA1C	0.4024339	HMGN5	0.346636041
FAHD2A	0.402434764	XK	0.347642402
TBL1Y	0.402485223	SLC26A7	0.347840648
BRD7	0.402563543	SNORA68	0.348086039
PPDPF	0.402861033	CCBP2	0.348201299
ECHDC2	0.40340967	C15orf24	0.348800447
ASB2	0.40383691	EEF1A1P9	0.349102011
SULT6B1	0.403887167	IQCH	0.349354297
GFPT2	0.404955824	ASAP1	0.349948892
FBLN2	0.406063244	RPS4Y1	0.350350058
ANGPTL6	0.406175727	BAG1	0.350350058
CEP63	0.406354823	GZMK	0.350743505
LASS2	0.407414389	TMEM72	0.35128904
GJD2	0.407665407	TMEM91	0.351340234
ATP5L2	0.408225615	CCL3L1	0.351474651
DYTN	0.408364698	GPR22	0.351684822
UBQLN2	0.408763424	PLA2G7	0.351797595
C11orf58	0.408799184	TRHR	0.351936512
CHRNA3	0.409082517	MOXD1	0.352175373
PELI1	0.409097385	LOC285692	0.352548923
DNAJB9	0.409182163	SP140L	0.352610117
FAM107B	0.409395435	SPEN	0.35284325
ARHGAP4	0.409459385	MED29	0.352926821
BCYRN1	0.409699267	HADHB	0.352926821
C9orf91	0.410011133	HCRTR1	0.353087242
CALB2	0.410368039	SPAG16	0.353225754
RBM26	0.410368039	BIRC2	0.353274072
FBXO31	0.410604143	OSMR	0.353282277
KIAA0430	0.410830097	PGA3	0.353427701
PRPF38A	0.411596011	IFT74	0.353427701
SHB	0.411692103	LOC415056	0.353644247
CARS2	0.411852777	MYO1H	0.353977241
DYNC1H1	0.411869813	PRDX5	0.354553878
CT45A2	0.41198291	RPRML	0.355361729
TUBA8	0.412035956	COQ4	0.355387893
TCEAL5	0.412209022	PRHOXNB	0.355657689
RTN2	0.412264188	LOC285735	0.355771946
C12orf29	0.412335062	JPH1	0.355951864
F9	0.412588029	ZNF397OS	0.355951864
COL12A1	0.412588509	PAGE3	0.355951864
NXPH2	0.4129453	SNORA11	0.355983419
TMEM133	0.412995423	DNAJC17	0.356108112
PRSS41	0.413231269	RAG2	0.356984474
CACNA1H	0.413899307	YTHDF2	0.356984474
ARPP21	0.41445025	ATXN3L	0.357351871
FGF23	0.41445025	DBC1	0.357726508
MGC16142	0.41445025	OR2M5	0.358206657
TUBGCP3	0.414595566	ALDH3A2	0.358290419
MUDENG	0.414653754	POR	0.358342562
KIAA1797	0.41524226	TRIM40	0.358457532
SYN3	0.416162012	LOC729156	0.358666085
C7orf72	0.416522977	KRTAP8-1	0.358741613
PRAMEF9	0.416655332	CCDC47	0.359141354
DNAJA1	0.416752363	PLEKHF2	0.35914959
UAP1L1	0.417092074	TMPRSS12	0.359220016
PAK4	0.417257764	BOC	0.359291728
GOLGA2B	0.417337425	MPP3	0.359623894
C8orf71	0.417666371	ALKBH7	0.359623894
CXorf38	0.417819199	TMEM67	0.360227066
KCNS3	0.418061635	DCTN3	0.360864096
FAM75A3	0.41826283	PHEX	0.361114734
POGK	0.418540476	CCDC64B	0.361320623
TTC30B	0.418996454	TRPC4AP	0.361403782
KIF16B	0.419348995	MCART3P	0.361476193
DAG1	0.419587873	VN1R5	0.361745275
PSPN	0.4198162	OR13C2	0.362031391
SGSM2	0.420344418	ZDHHC16	0.362031391
DBP	0.420491913	CDC42BPG	0.362070784
ZNF543	0.420725824	RAB1B	0.362437324
KIAA0182	0.420830338	VN1R2	0.362501737
ATXN3L	0.420879098	EVC2	0.362501737
RBMY1F	0.421003949	PRSS36	0.36251402
SNED1	0.421770724	OR8K3	0.362515481
RPL23AP82	0.421854518	GALNT11	0.362754739
SGSM1	0.422349795	BBS7	0.363031196
OR8B2	0.422575116	SLC26A1	0.363031196
ARL5C	0.422575116	TTBK2	0.363121588
FLJ13197	0.422770453	ITFG1	0.363318883
RLF	0.422904967	DIO3	0.363318883
ASF1A	0.423279983	TET2	0.363856923
SCARB1	0.423515608	ZNF85	0.364107332
CD300A	0.423515608	KCTD18	0.364134372
CTNNA1	0.423515608	SUPT6H	0.36422399
SOS1	0.423565152	PAPPA	0.364418704
ZNF845	0.424189903	CYP3A43	0.364427688
ZNF418	0.424189903	C11orf85	0.365053193
GKAP1	0.424427633	USP22	0.365390638
GPLD1	0.424438262	SNORA21	0.365699692
GCH1	0.424653358	MUC5B	0.365760764
ALDH5A1	0.424702761	ZCCHC18	0.365876885
TAS2R41	0.424829628	AMAC1L3	0.365976223
FAM149B1	0.424898352	PLEKHA3	0.366034156
DNAJC24	0.425590025	OR13C4	0.36632914
EXTL3	0.425758115	XPA	0.366342805
CCT8L2	0.425867513	MAX	0.366892415
OR2T10	0.425987562	FAM117A	0.367077688
CHTF8	0.426190366	VPRBP	0.367079985
FAM126B	0.426416031	MEI1	0.367252911
AMTN	0.426480639	LIM2	0.368148827
LOC728323	0.426867566	FCGBP	0.368695014
ROBO1	0.426904495	KIAA0100	0.368767281
KRTAP11-1	0.426982883	FOXD4L6	0.36906311
MRPL42P5	0.42701284	SNORA3	0.369064321
CARTPT	0.427174631	CAMK1D	0.369100094
C10orf47	0.427272605	PAK3	0.369117554
BCL3	0.427432463	OTUD6A	0.369117554
FAM27B	0.427566373	ALS2	0.370173019
UBE2Q2	0.428023303	COMMD10	0.370225485
PML	0.428031042	RPS23	0.370353459
GRINA	0.428179121	C12orf74	0.370647177
SELS	0.428560899	FLNB	0.371674349
SH3D20	0.428640024	LCN9	0.371719391
RHBDD1	0.428779917	MKNK2	0.371719391
CALM3	0.428864799	ASB17	0.371725513
ZNF33A	0.429140276	ENPP6	0.372064408
NBPF14	0.429341313	PTPRR	0.372336043
TMF1	0.430021646	PELI2	0.372453276
KCNN3	0.430109304	SLC39A1	0.372456073
PKN2	0.430353661	CLK3	0.373311889
MAMLD1	0.430484573	FADS1	0.373422052
HTR2A	0.430535841	TGFB3	0.373670141
C2orf18	0.430625189	C5orf62	0.373759904
CASQ1	0.430636339	B3GALT1	0.37384514
ZNF14	0.431220751	GGA1	0.37384514
NACA2	0.431333938	WFDC12	0.374199296
CHD5	0.431412187	GPR114	0.374289842
C14orf148	0.431513787	PRSS12	0.374466678
KIAA1958	0.4316008	SCGB1D1	0.374512456
BRD4	0.431758366	ZNF277	0.375107981
ADM	0.431879795	NOTCH2NL	0.37517476
LOC284009	0.431982044	APOA4	0.375449365
BNC1	0.432166867	TAS2R30	0.37630377
BLOC1S1	0.432301409	GPR68	0.376566726
HECTD1	0.432420429	TMEM188	0.3765993
CNNM2	0.433294216	PLK2	0.377007349
HLA-DPB2	0.433339615	FLJ40852	0.377007589
SLAMF6	0.43350112	ATXN7L1	0.377135878
IL10RB	0.433739957	RPSAP9	0.377739149
SDK2	0.433869362	DAD1L	0.377739149
MGC15885	0.434133732	ZNF137	0.377840077
C21orf54	0.434990768	C14orf184	0.378511642
INTS12	0.434990768	MAS1	0.378568152
OR13C2	0.435029234	NDUFB1	0.37918097
HRASLS5	0.435115311	QPRT	0.37952269
SFMBT2	0.435788995	ZNF839	0.379692163
HMGN2	0.436421189	NEK4	0.380100926
ANKRD20A4	0.436421189	ANKRD36BP1	0.380102732
ATG3	0.436524331	CYLC2	0.380585283
CNOT10	0.436864578	LRRC37A2	0.380585283
ZNF445	0.437035882	FIBCD1	0.380585283
FLJ14107	0.437069828	USP6NL	0.381143344
CCDC159	0.437257684	DPH1	0.381318715
PTPRCAP	0.437292024	USP29	0.381917469
ZNF700	0.437319333	ZNF609	0.382026604
FKBP1AP1	0.437404404	TOP1	0.382235954
TPSG1	0.437404404	CHRM4	0.382235954
VPS29	0.437474166	FLJ42627	0.382419158
CLN3	0.437718342	OBFC2A	0.382607387
SNX7	0.438080533	PRDM4	0.382666785
LGALS1	0.438639666	LOC340094	0.383038691
CHST12	0.438710743	FOXR1	0.383224561
ST6GALNAC4	0.438755154	TAS2R39	0.383343922
SCP2	0.438759504	RRAGC	0.384249902
LARP4B	0.438759504	RXRA	0.384423742
RHOU	0.438793241	SPATA9	0.384423742
AHCYL2	0.438990809	ZNHIT2	0.384721915
ASAP1IT1	0.439031418	LOC148824	0.384721915
NDUFB6	0.439397484	CELF6	0.385036195
YTHDC2	0.439694689	SEPT7L	0.385923662
CECR4	0.439787547	PHPT1	0.385942509
VSIG8	0.440010296	TMEM14C	0.38647086
PPP3R1	0.440164751	ESRP2	0.386615308
COPS7A	0.440225412	LYZL1	0.386627639
ORC3L	0.440933926	ELAC1	0.387030306
CMIP	0.441596943	ASTN1	0.387118427
YTHDF3	0.441640056	RAB12	0.387397819
ZNF570	0.441640056	TMEM126B	0.387524786
C1D	0.442119538	C4orf23	0.387835264
DGKD	0.442121795	PTPN3	0.388221785
PARP15	0.442519988	GRIN3A	0.388439295
TMEM132D	0.442573331	POU1F1	0.388547204
RERGL	0.442720585	RSF1	0.38861148
SSPO	0.442729229	DULLARD	0.389223099
ART3	0.443003734	TAF13	0.389244242
QRICH2	0.443722079	MYF5	0.389436997
INADL	0.443746248	IL21R	0.389561686
CCR5	0.443796225	GNE	0.389792341
OR13A1	0.444125093	FAM193B	0.389832387
TPO	0.444291149	LOC285847	0.389924374
TMEM188	0.444291149	SMCHD1	0.390041986
SRFBP1	0.444704403	NCRNA00201	0.390622555
SNORA27	0.4448867	SUMF2	0.390918823
LOC154822	0.444907929	C5orf25	0.390923022
HSD17B8	0.445013861	L3MBTL4	0.390924768
NCRNA00219	0.445013861	KIAA0586	0.391033546
ZNF180	0.445051888	IFITM1	0.391158064
LOC100128239	0.445051888	OR7G3	0.391466014
DOCK1	0.445267732	OR9A2	0.39179711
LMO4	0.445298474	SKP1	0.39220143
TPRA1	0.445381709	ZNF35	0.393467646
CBLL1	0.445431765	APOE	0.393663654
LOC644936	0.445635948	CNGA3	0.393819247
ZNF236	0.446110682	PPPDE1	0.393859793
OR10A4	0.446320482	GSPT1	0.394148151
TRPV5	0.446756653	FAM182A	0.394273596
ARL17B	0.447185721	PI4KA	0.394708432
KIAA0174	0.44733229	FOXI2	0.394931311
EIF3F	0.447424083	ABCD1	0.395105643
DTNBP1	0.447652809	CDH16	0.395105643
LONRF2	0.447684931	SPNS1	0.395210689
ASB18	0.44785144	LOC339290	0.395236687
OR51G2	0.44789964	RIMS1	0.395751368
ZNRF4	0.448003623	DIP2A	0.395958879
NKX6-2	0.448023911	CIDEB	0.396086877
PLD3	0.448077402	STRADB	0.396137844
ZNF444	0.448156957	MAP3K1	0.39648316
ZNF747	0.448265256	SNORA6	0.396808716
ZNF880	0.448532901	WBSCR27	0.397103156
GPR52	0.448930603	ZNF549	0.397374942
FXYD5	0.449193841	HOMER1	0.397825238
