Gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
ELK1,0.356576269,5.085068234,6.28886282,2.38E-09,6.35E-09,9.71345637
CHTOP,0.381132026,5.350467123,6.284308415,2.44E-09,6.50E-09,9.663239371
DDR1,0.626886819,6.433844532,6.278350971,2.52E-09,6.70E-09,9.646151559
RPLP0,0.624915756,9.800336843,6.273458257,2.59E-09,6.87E-09,9.809739648
MRPL55,0.527292299,5.559178367,6.272182376,2.60E-09,6.92E-09,9.598957933
RANBP9,0.45165064,5.414824248,6.271588063,2.61E-09,6.93E-09,9.596745526
ZMPSTE24,0.40850502,6.123772148,6.263861095,2.72E-09,7.21E-09,9.56283162
SNRNP200,0.518620641,6.255175385,6.259744909,2.78E-09,7.36E-09,9.54477539
PLA2G4A,1.521555142,4.807450361,6.253170521,2.88E-09,7.61E-09,9.671154859
IGHV3-49,2.030331929,6.265400755,6.249959684,2.93E-09,7.74E-09,9.494576186
AAMP,0.330224753,6.846562853,6.245450212,3.00E-09,7.91E-09,9.495694927
IGHV3-11,1.935793938,6.68619008,6.241855051,3.05E-09,8.06E-09,9.468829809
IGHV3-66,1.711306575,4.151948236,6.241387574,3.06E-09,8.08E-09,10.19092608
EIF5A,0.521924772,7.943904178,6.240915933,3.07E-09,8.09E-09,9.540918172
HMGB2,0.726143785,6.536875441,6.240387117,3.08E-09,8.11E-09,9.454352577
IGHV3-43,1.834311039,4.161090268,6.235008994,3.16E-09,8.34E-09,10.15121997
UCHL1,1.966801078,4.468704929,6.233456083,3.19E-09,8.40E-09,9.879682423
CANX,0.369282735,8.57315236,6.228254574,3.28E-09,8.62E-09,9.508906767
ATXN2L,0.454377751,5.767882786,6.225806951,3.32E-09,8.73E-09,9.359341838
NT5DC2,0.579090205,4.999012319,6.225249666,3.33E-09,8.75E-09,9.413078247
IGHV1-2,2.056925313,6.966010574,6.224033108,3.35E-09,8.80E-09,9.39213888
PSMG1,0.570049223,4.912842915,6.223438836,3.36E-09,8.82E-09,9.446549619
IGLC3,1.862472971,9.160379855,6.223184821,3.37E-09,8.83E-09,9.51437787
RBM12,0.311960365,5.323248023,6.222886578,3.37E-09,8.84E-09,9.347161356
SPINDOC,0.621943115,4.646944069,6.222318263,3.38E-09,8.86E-09,9.652184952
TM9SF3,0.394026284,6.789334881,6.221632606,3.39E-09,8.89E-09,9.370089168
NRBP1,0.331958813,6.085291628,6.213543353,3.54E-09,9.27E-09,9.302832039
IGHV3-30,1.874081166,6.98113087,6.208052722,3.64E-09,9.53E-09,9.310932537
COQ9,0.420920109,4.767451726,6.207847253,3.65E-09,9.53E-09,9.469951316
KCMF1,0.350677384,4.749762335,6.20690777,3.67E-09,9.57E-09,9.480069092
ARF4,0.447369664,8.265251682,6.197990414,3.84E-09,1.00E-08,9.338036786
C1orf43,0.507614902,8.30265508,6.196455982,3.87E-09,1.01E-08,9.332081768
SNRPB,0.651340961,7.796354601,6.192260239,3.96E-09,1.03E-08,9.281907493
REPIN1,0.493837329,5.905679417,6.191808698,3.97E-09,1.03E-08,9.186813579
PTGES3,0.466288002,8.15796229,6.187615684,4.06E-09,1.05E-08,9.279289873
NDUFB11,0.453748943,7.924720189,6.181292939,4.19E-09,1.09E-08,9.233766848
IGHV4-61,1.670159092,3.928899045,6.154104636,4.83E-09,1.25E-08,9.9014763
FBLIM1,0.710085666,5.298312233,6.153477282,4.85E-09,1.25E-08,8.992490087
IGKV1-27,1.716876814,6.166201197,6.149049939,4.96E-09,1.28E-08,8.974795225
OAT,0.718478259,6.636429891,6.148564576,4.97E-09,1.28E-08,8.988341902
CHCHD2,0.730809337,9.232741093,6.147261015,5.01E-09,1.29E-08,9.129941209
TMEM183A,0.455120059,4.914398552,6.144308051,5.08E-09,1.31E-08,9.040683628
CUL4B,0.351021115,4.918395453,6.141851953,5.15E-09,1.33E-08,9.02588929
IGLV2-23,1.897822746,8.095009048,6.140683101,5.18E-09,1.33E-08,9.036196543
NELFE,0.440756974,6.459452801,6.140016489,5.20E-09,1.34E-08,8.937142153
PTBP3,0.423790851,5.919382923,6.139129685,5.22E-09,1.34E-08,8.91799458
TGFA,1.04771684,4.28086619,6.134985297,5.33E-09,1.37E-08,9.544356773
ADRM1,0.44154855,5.958628104,6.133471499,5.38E-09,1.38E-08,8.890135951
SYVN1,0.457590682,5.664147901,6.133416955,5.38E-09,1.38E-08,8.886617708
KCNK1,1.052791766,4.684427844,6.13178319,5.42E-09,1.39E-08,9.154552788
EIF3H,0.422816279,6.873846765,6.129536957,5.49E-09,1.41E-08,8.903671934
SLC30A5,0.345828959,4.903685887,6.128501976,5.52E-09,1.41E-08,8.96639166
STAU1,0.353019106,7.000549793,6.121695349,5.72E-09,1.46E-08,8.870919581
CHCHD3,0.354425975,5.454519361,6.115439825,5.90E-09,1.51E-08,8.796384721
IGKV1-6,1.83711929,5.984589284,6.111469656,6.03E-09,1.54E-08,8.778906035
CRCP,0.358705628,5.289149576,6.105090564,6.23E-09,1.59E-08,8.746575544
IGKV1-17,1.88178872,6.215692772,6.101503244,6.35E-09,1.62E-08,8.734109993
IGHV3-21,2.071218608,7.716783474,6.099662851,6.41E-09,1.63E-08,8.804675351
NOL7,0.35856305,6.050201357,6.096982936,6.50E-09,1.65E-08,8.707083534
NMD3,0.43439652,5.278314628,6.095727653,6.54E-09,1.66E-08,8.699520609
ERI3,0.409196297,5.775795581,6.092657956,6.64E-09,1.69E-08,8.679604823
MARCHF6,0.512502309,5.547308005,6.09193244,6.67E-09,1.69E-08,8.676576964
LBR,0.516970162,5.290053512,6.090757637,6.71E-09,1.70E-08,8.673839398
SRSF1,0.313486857,5.035171309,6.090712023,6.71E-09,1.70E-08,8.71332013
NUP210,0.796039525,4.835222201,6.089243248,6.76E-09,1.71E-08,8.812515126
PES1,0.426252912,5.645852535,6.081927696,7.02E-09,1.78E-08,8.625261685
SRRT,0.462202982,5.765144494,6.077670904,7.18E-09,1.81E-08,8.603628258
COL1A2,1.324857884,8.36469219,6.075207118,7.27E-09,1.84E-08,8.717864124
IGHV4-59,1.924420569,6.962361556,6.07325941,7.34E-09,1.85E-08,8.623082871
PRXL2A,0.465896055,5.070952599,6.073187121,7.35E-09,1.85E-08,8.613625164
IMMT,0.353495701,6.19199456,6.068833543,7.51E-09,1.90E-08,8.568059211
UBE2D1,0.386696288,4.812556241,6.056805728,8.00E-09,2.01E-08,8.665509975
TMEM208,0.551071353,6.094773885,6.051907707,8.20E-09,2.07E-08,8.480181098
LRRC41,0.308712572,5.153913073,6.050882916,8.24E-09,2.08E-08,8.483784258
MTA2,0.348393995,6.157091351,6.050425982,8.26E-09,2.08E-08,8.474239842
PHF23,0.345086895,5.403036358,6.049541104,8.30E-09,2.09E-08,8.463074124
CLSTN3,0.580441788,5.123507588,6.049005107,8.32E-09,2.09E-08,8.479256232
PTBP1,0.331093591,6.673464351,6.037339812,8.84E-09,2.22E-08,8.426297869
IGHV6-1,1.923050584,5.560935333,6.035082511,8.94E-09,2.24E-08,8.38920568
HNRNPF,0.327455464,7.908681908,6.032610727,9.06E-09,2.27E-08,8.478056019
LACTB2,0.697761048,4.977026859,6.024631171,9.44E-09,2.36E-08,8.402198565
SEZ6L2,1.119092071,5.394424304,6.024387368,9.45E-09,2.36E-08,8.336411268
PDAP1,0.405804795,6.825222281,6.020771379,9.62E-09,2.41E-08,8.350721261
NAA50,0.4356789,6.003314297,6.017662328,9.78E-09,2.44E-08,8.305290446
SEC31A,0.355121835,6.269488952,6.009975801,1.02E-08,2.54E-08,8.273314537
ITPA,0.499721486,5.980193828,6.007279757,1.03E-08,2.57E-08,8.252516628
GPD2,0.407106583,4.978980012,6.002298112,1.06E-08,2.64E-08,8.289073698
QPCT,1.412095594,4.309224727,6.000007132,1.07E-08,2.67E-08,8.839338601
TOMM22,0.437548949,6.722148858,5.993686489,1.11E-08,2.75E-08,8.20929679
HNRNPK,0.214002401,8.240927947,5.991563664,1.12E-08,2.78E-08,8.290347356
SLIRP,0.471527556,4.828947583,5.980682869,1.18E-08,2.94E-08,8.270392319
ATP5MC3,0.467035459,6.77421376,5.979338957,1.19E-08,2.96E-08,8.140098468
IPO7,0.414503702,6.443316421,5.978123137,1.20E-08,2.97E-08,8.118860918
NKIRAS2,0.416143234,4.817599226,5.974053319,1.22E-08,3.03E-08,8.245784782
NDUFB3,0.399008583,6.902941069,5.971700472,1.24E-08,3.07E-08,8.10884422
MAPK13,0.457714333,5.903168953,5.965909776,1.27E-08,3.16E-08,8.043340546
TOP1,0.516707534,6.960338949,5.955302635,1.35E-08,3.33E-08,8.030127361
GGCX,0.573950055,4.911279845,5.955135439,1.35E-08,3.33E-08,8.088127409
ZNRD2,0.456117112,4.907090466,5.944494068,1.42E-08,3.50E-08,8.037456503
ATMIN,0.290896454,5.092066915,5.942818224,1.43E-08,3.53E-08,7.95336126
ZFR,0.323511877,5.578915589,5.936776426,1.48E-08,3.64E-08,7.896519851
IGKV6-21,1.88715642,3.990970595,5.935112013,1.49E-08,3.67E-08,8.760914155
C5orf51,0.449286066,4.694185472,5.933313993,1.51E-08,3.70E-08,8.146694118
CHID1,0.413135574,5.566432915,5.932717884,1.51E-08,3.71E-08,7.876387154
PLIN3,0.593402314,6.044034764,5.930934582,1.52E-08,3.74E-08,7.872367138
VPS35,0.326739532,5.631903073,5.929639471,1.53E-08,3.76E-08,7.860623682
SCRIB,0.679585668,5.310660698,5.919941668,1.61E-08,3.95E-08,7.815427066
SEPTIN9,0.457578036,6.249340596,5.895028103,1.83E-08,4.47E-08,7.699019458
DUSP23,0.715499969,7.167044958,5.888714633,1.89E-08,4.61E-08,7.711026473
IGLV2-11,1.848452872,7.636872677,5.878843757,1.98E-08,4.84E-08,7.69267891
BRMS1,0.378629011,5.824861205,5.866300367,2.11E-08,5.15E-08,7.546800666
NCBP2,0.39570936,5.562498601,5.86417481,2.14E-08,5.21E-08,7.536345277
SMARCD2,0.33127166,6.532113219,5.854973095,2.24E-08,5.45E-08,7.510146287
ATP5MC1,0.596363146,5.746369231,5.854635275,2.24E-08,5.46E-08,7.488530962
SNRNP40,0.367261248,5.078289202,5.851042687,2.28E-08,5.55E-08,7.501639668
COX6C,0.470778883,6.113005983,5.849010413,2.31E-08,5.61E-08,7.468085199
MINPP1,0.410692929,4.765423452,5.842181386,2.39E-08,5.80E-08,7.632476397
IGLV2-8,1.730310357,6.150684699,5.839834436,2.42E-08,5.87E-08,7.423768172
TMEM159,0.689868133,5.926167383,5.839442707,2.42E-08,5.87E-08,7.416123485
GOLPH3,0.395206515,7.62633491,5.838533382,2.43E-08,5.90E-08,7.492909927
RPS18,0.741276436,11.14542856,5.830245947,2.54E-08,6.15E-08,7.640039286
SFN,1.08721921,8.018529227,5.82919389,2.55E-08,6.18E-08,7.471798737
ISYNA1,0.755026934,5.009798931,5.826451022,2.58E-08,6.25E-08,7.402377137
RANGAP1,0.495234301,5.56859704,5.826087427,2.59E-08,6.26E-08,7.348496861
PEX11B,0.419796313,6.079063594,5.815649791,2.73E-08,6.59E-08,7.302967263
IGHJ3P,1.70876597,3.798946435,5.801834082,2.93E-08,7.05E-08,8.228398531
TNPO1,0.383090403,5.060384115,5.794894529,3.03E-08,7.29E-08,7.230509682
CDC34,0.485652496,6.092553257,5.794777022,3.03E-08,7.30E-08,7.200869661
RBBP8,0.524473326,4.803216447,5.790139076,3.10E-08,7.46E-08,7.346417063
IGKV1-12,1.733994717,5.851642388,5.784490168,3.19E-08,7.66E-08,7.144714066
PPIC,0.478228773,5.73024195,5.784309222,3.19E-08,7.67E-08,7.142759053
IGHV1-58,1.692725241,3.755257088,5.783759504,3.20E-08,7.68E-08,8.166172648
NDUFA12,0.408863894,5.927429776,5.782403108,3.22E-08,7.73E-08,7.136014091
CDK2AP1,0.466114608,5.776726528,5.772170713,3.39E-08,8.12E-08,7.083547273
GNPDA1,0.422218097,5.326517311,5.768395202,3.46E-08,8.27E-08,7.06778886
YIPF3,0.357035899,7.137231264,5.76356276,3.54E-08,8.46E-08,7.093534312
RAB15,0.862867172,4.557560276,5.758977493,3.63E-08,8.65E-08,7.417682435
LMAN2,0.451323654,8.07953567,5.758837247,3.63E-08,8.65E-08,7.130440443
IGHV3-7,1.762274858,7.36854981,5.755775165,3.68E-08,8.78E-08,7.069916883
MFSD3,0.732276288,4.687660333,5.751643386,3.76E-08,8.96E-08,7.257661137
F2RL1,0.919216425,4.544019359,5.745352054,3.88E-08,9.24E-08,7.364426917
APRT,0.584498304,7.221137629,5.741877799,3.95E-08,9.39E-08,6.99286461
MAPK6,0.584920947,4.782021621,5.739201801,4.00E-08,9.50E-08,7.1144888
IGLV3-10,1.998960122,6.487396242,5.739059212,4.00E-08,9.51E-08,6.939959911
PSMD8,0.393553374,7.178223732,5.732704865,4.13E-08,9.81E-08,6.945589946
IGHV2-70,1.862292479,4.987861978,5.730532654,4.18E-08,9.91E-08,6.941942773
SEC23IP,0.317436596,4.767880381,5.730382261,4.18E-08,9.91E-08,7.083163857
DYNC2I2,0.523123292,6.258812781,5.728591808,4.22E-08,9.99E-08,6.881778409
GALNT1,0.489248725,6.121703962,5.726620155,4.26E-08,1.01E-07,6.868849751
CMAS,0.510075863,5.779464926,5.709484005,4.64E-08,1.10E-07,6.778240286
CDKN2AIPNL,0.499458103,5.217039959,5.707603173,4.68E-08,1.11E-07,6.777157735
IGHV3-74,1.612110361,6.240844126,5.7073139,4.69E-08,1.11E-07,6.777977705
ELMO3,0.687330995,5.269908324,5.704216839,4.76E-08,1.12E-07,6.757415748
IGHV3-20,1.801571001,4.287905127,5.699482275,4.88E-08,1.15E-07,7.378305956
EMC1,0.40664022,4.756476422,5.693113138,5.03E-08,1.19E-07,6.911957698
ACLY,0.467031448,6.633936237,5.690156546,5.11E-08,1.20E-07,6.708986652
TXN,0.705081929,8.986334117,5.689747409,5.12E-08,1.21E-07,6.842117582
GCLM,0.779533894,4.639021586,5.686606445,5.20E-08,1.22E-07,6.987529397
IGHV4-31,1.748624522,5.636361583,5.686594371,5.20E-08,1.22E-07,6.667375253
SNX6,0.453104184,5.956889224,5.682860344,5.29E-08,1.25E-07,6.652381256
ATL2,0.495666914,5.55641211,5.679336118,5.39E-08,1.27E-07,6.63279263
TNNT1,1.798839578,3.380363688,5.672801563,5.56E-08,1.31E-07,7.820342376
CLDN3,1.218882814,6.648447752,5.659207699,5.95E-08,1.40E-07,6.560150054
SDF2,0.379971897,5.554232051,5.658504434,5.97E-08,1.40E-07,6.532222913
TRMT112,0.393993266,8.189389936,5.650855521,6.20E-08,1.45E-07,6.612829142
DGAT1,0.56315069,5.001166146,5.650060545,6.23E-08,1.46E-07,6.546883907
UQCRQ,0.559070373,6.223266084,5.648553122,6.27E-08,1.47E-07,6.493516463
MBOAT7,0.419844967,5.608692003,5.644130157,6.41E-08,1.50E-07,6.462603937
PSMD13,0.358088574,6.485980049,5.641672041,6.49E-08,1.52E-07,6.468463159
ARF1,0.3225819,9.165069821,5.635419552,6.69E-08,1.56E-07,6.590126361
MZT2B,0.539700667,4.931818557,5.633710955,6.75E-08,1.57E-07,6.501408604
CREB3L2,0.543683123,5.673398727,5.631984595,6.81E-08,1.59E-07,6.403837332
ARPC5L,0.351973335,5.538414873,5.629765617,6.88E-08,1.60E-07,6.393977374
PRPF3,0.535235847,4.787284939,5.627244823,6.97E-08,1.62E-07,6.568934671
NRDC,0.345334266,5.821927248,5.626452593,6.99E-08,1.63E-07,6.377826547
CAND1,0.552283183,4.996419753,5.623853228,7.08E-08,1.65E-07,6.422768388
ATP5MF,0.545579688,5.304895722,5.622166547,7.14E-08,1.66E-07,6.360127896
CIAPIN1,0.330890248,5.455381089,5.620475346,7.20E-08,1.67E-07,6.349804067
RPL38,0.527386923,7.962669454,5.617566414,7.31E-08,1.70E-07,6.440174045
MMADHC,0.34695626,6.782805697,5.609899755,7.59E-08,1.76E-07,6.329903703
BRPF3,0.525821983,4.909631412,5.608116372,7.65E-08,1.77E-07,6.391114291
KRAS,0.523632723,4.916141704,5.598935892,8.01E-08,1.85E-07,6.34339945
GAS5,0.789160873,6.422233948,5.596792348,8.09E-08,1.87E-07,6.250730643
HTATIP2,0.550011576,6.063771555,5.592888231,8.25E-08,1.91E-07,6.222403523
CPSF1,0.529758388,5.323161845,5.591580537,8.30E-08,1.92E-07,6.213024424
HDAC3,0.300885766,4.989994511,5.59004541,8.36E-08,1.93E-07,6.263489547
EIF2B1,0.322807581,5.492280224,5.588774803,8.42E-08,1.94E-07,6.19776137
PYCR2,0.368671904,5.031400472,5.586875916,8.49E-08,1.96E-07,6.232775011
NUDT16L1,0.500172591,5.446541473,5.583574667,8.63E-08,1.99E-07,6.173160161
ACTG1,0.398073833,11.84299417,5.583054552,8.65E-08,2.00E-07,6.474394293
CAPZA1,0.349264561,7.383301656,5.582477163,8.68E-08,2.00E-07,6.234221599
H1-2,1.037667194,7.060974821,5.580468395,8.77E-08,2.02E-07,6.204719357
SET,0.368326298,7.689065735,5.576505082,8.94E-08,2.06E-07,6.226284103
XRCC6,0.313555646,8.30897174,5.571866659,9.14E-08,2.10E-07,6.240437513
SPATA20,0.600915874,4.981368074,5.570215725,9.22E-08,2.12E-07,6.17263532
IGKV1-8,1.616594256,3.839334999,5.566195471,9.40E-08,2.16E-07,7.070293637
BATF,0.851242393,4.929757466,5.562225238,9.58E-08,2.20E-07,6.160465173
CDC42SE1,0.38443755,6.553758019,5.561373715,9.62E-08,2.21E-07,6.086828712
USP5,0.400348955,6.303062512,5.560108954,9.68E-08,2.22E-07,6.071921943
NDUFS5,0.453047823,9.110805956,5.557397996,9.81E-08,2.25E-07,6.213813228
LARP1,0.488267798,6.198021386,5.554876035,9.93E-08,2.27E-07,6.044355142
FARSA,0.388921872,6.008823999,5.554340056,9.96E-08,2.28E-07,6.037033443
NCKAP1,0.342382404,4.903492013,5.551873415,1.01E-07,2.31E-07,6.12617637
GPX2,2.640904054,3.958206171,5.54923573,1.02E-07,2.33E-07,6.911965464
IFNGR2,0.489237619,6.536764018,5.54770717,1.03E-07,2.35E-07,6.021043357
YIPF5,0.319364283,5.877531601,5.547210313,1.03E-07,2.36E-07,5.999980163
IRF3,0.359884203,5.321259108,5.545339981,1.04E-07,2.38E-07,5.992588229
CYRIB,0.464881217,5.017320239,5.543957691,1.05E-07,2.39E-07,6.033145385
PSME2,0.469683019,6.729879451,5.543434968,1.05E-07,2.40E-07,6.009906263
PRDX2,0.535962541,6.953197308,5.543112163,1.05E-07,2.40E-07,6.020511628
IGLV1-44,1.787886262,7.68480105,5.54027293,1.07E-07,2.43E-07,6.053474426
TUBB2A,0.871623328,4.638584108,5.536705426,1.09E-07,2.47E-07,6.269802931
PUM3,0.464364076,5.097719991,5.535268834,1.09E-07,2.49E-07,5.967758679
MRPS21,0.462347169,6.850253869,5.534315431,1.10E-07,2.50E-07,5.972975234
SYAP1,0.359810013,5.49663653,5.531067492,1.12E-07,2.54E-07,5.922867952
MRPL28,0.390256382,5.648874909,5.529190857,1.13E-07,2.56E-07,5.913037772
IGHV3-73,1.907964802,5.353010623,5.5239191,1.16E-07,2.62E-07,5.890183941
ACTR3,0.354689378,6.194113332,5.522263502,1.16E-07,2.64E-07,5.889344082
CXCL14,2.040315981,4.82200558,5.521370006,1.17E-07,2.66E-07,6.036811213
TPRKB,0.419937217,4.730444899,5.517433169,1.19E-07,2.71E-07,6.093456509
PSMB7,0.314342109,7.38025981,5.516624756,1.20E-07,2.71E-07,5.920802717
IGLV3-25,1.83015144,7.894568453,5.514946277,1.21E-07,2.74E-07,5.946962513
BUD31,0.367766005,5.349076952,5.508884191,1.24E-07,2.81E-07,5.819026553
RPL39,0.607040219,7.429614566,5.50132818,1.29E-07,2.91E-07,5.851671364
SLC9A3R1,0.705170815,6.088713525,5.492958401,1.34E-07,3.03E-07,5.748098837
ATP5F1E,0.390432271,6.993558864,5.489027629,1.37E-07,3.08E-07,5.766667609
CISD1,0.423228934,4.685135535,5.488490804,1.37E-07,3.09E-07,5.997838742
WIPI2,0.292132205,5.015177283,5.48642625,1.39E-07,3.12E-07,5.76146842
TKT,0.588531129,7.249864218,5.483822748,1.40E-07,3.15E-07,5.757455729
COPZ1,0.342881722,7.234099914,5.483818855,1.40E-07,3.15E-07,5.75645996
ZDHHC5,0.2622862,6.274555132,5.483468588,1.41E-07,3.16E-07,5.707895064
TUFT1,0.559292344,4.95280218,5.479709257,1.43E-07,3.21E-07,5.757179327
PDP1,0.593588045,4.560871729,5.478069921,1.44E-07,3.24E-07,6.06795187
DHX40,0.414358112,5.110411716,5.476822811,1.45E-07,3.25E-07,5.688435095
DHX9,0.363463465,6.670891931,5.47668336,1.45E-07,3.25E-07,5.691020324
DEK,0.431056238,5.993116758,5.476556491,1.45E-07,3.25E-07,5.668227183
MZT1,0.50157265,5.043932128,5.476337669,1.45E-07,3.26E-07,5.704035706
SHARPIN,0.465300217,6.212995669,5.475322429,1.46E-07,3.27E-07,5.667956333
SH3PXD2B,0.745449942,4.530806309,5.474548926,1.47E-07,3.28E-07,6.08065174
WDR5,0.358963061,5.159331377,5.468715367,1.51E-07,3.37E-07,5.641968071
LCN2,1.639078721,6.535914652,5.462991427,1.55E-07,3.46E-07,5.620308861
SOD1,0.451691946,7.890770307,5.455749329,1.61E-07,3.59E-07,5.667493868
AGR2,1.476174441,7.928757531,5.4535623,1.62E-07,3.62E-07,5.659542802
POFUT1,0.386594741,5.166733726,5.449877739,1.65E-07,3.68E-07,5.55235402
TMSB10,0.577557856,12.9413526,5.441393023,1.72E-07,3.83E-07,5.855249887
GRSF1,0.272952765,5.443192125,5.441023993,1.73E-07,3.84E-07,5.498315679
OCRL,0.365775294,4.695043106,5.440710003,1.73E-07,3.84E-07,5.764042371
GRB7,0.667441806,4.852989677,5.439210383,1.74E-07,3.86E-07,5.626881862
COP1,0.286740825,5.350363158,5.439150505,1.74E-07,3.86E-07,5.490498275
VEZT,0.320736039,5.011548284,5.428968738,1.83E-07,4.05E-07,5.49271856
VMA21,0.332461716,5.09047541,5.428681194,1.83E-07,4.06E-07,5.46691519
MYO1E,0.689473137,4.465059255,5.426125453,1.85E-07,4.10E-07,5.917008315
CYB561,0.403778496,6.346529868,5.424780304,1.87E-07,4.13E-07,5.434119074
IPO9,0.39134137,4.779241905,5.414790557,1.96E-07,4.32E-07,5.568879215
REXO4,0.314866199,4.920997731,5.412094615,1.98E-07,4.37E-07,5.457011017
RIDA,0.505129621,4.966207912,5.397620549,2.12E-07,4.68E-07,5.365693266
ETV6,0.462123285,4.75459947,5.392715597,2.18E-07,4.78E-07,5.486525615
PPP1R8,0.262513792,5.607849869,5.390244584,2.20E-07,4.84E-07,5.25995016
COX5B,0.480717994,7.455635122,5.386522616,2.24E-07,4.92E-07,5.314755479
C8orf33,0.40601758,5.409177281,5.375868176,2.36E-07,5.17E-07,5.194272784
PLS1,0.576259712,4.992236845,5.374307944,2.38E-07,5.21E-07,5.245276921
TCP1,0.417012828,6.367168609,5.36851201,2.44E-07,5.35E-07,5.172363786
KHDRBS1,0.283730112,7.229404627,5.36799758,2.45E-07,5.36E-07,5.214034073
IGKV2D-29,1.709519152,4.577928722,5.366400455,2.47E-07,5.39E-07,5.529355435
JUP,0.603455749,7.671416594,5.363139964,2.51E-07,5.48E-07,5.22068467
LSG1,0.464603602,4.842710504,5.358055919,2.57E-07,5.61E-07,5.255775756
MAP7,0.484336641,4.67929162,5.356006144,2.59E-07,5.66E-07,5.383709188
COL6A3,1.000144208,6.294373077,5.348543828,2.69E-07,5.86E-07,5.077642737
ITGB4,1.068998744,5.865024809,5.346550776,2.71E-07,5.91E-07,5.057845418
FAT1,0.870950122,4.67306097,5.342398671,2.77E-07,6.03E-07,5.326515668
RBMX,0.301359462,6.431018146,5.340837047,2.79E-07,6.07E-07,5.046175038
STMN1,0.79623836,5.78974731,5.340480803,2.79E-07,6.08E-07,5.028717063
DNPH1,0.592866854,5.87455571,5.336601084,2.84E-07,6.18E-07,5.011962946
ATP1B1,0.786438298,8.644220147,5.330592442,2.93E-07,6.36E-07,5.124575853
AP3S1,0.325557064,5.654204582,5.326545656,2.98E-07,6.48E-07,4.964161686
CLCF1,0.860025379,4.364023243,5.321148032,3.06E-07,6.63E-07,5.524118821
WFDC2,1.184762971,8.741814774,5.317733224,3.11E-07,6.74E-07,5.070326608
IWS1,0.33069905,5.400402732,5.3068007,3.27E-07,7.09E-07,4.874668622
PSMA7,0.406874494,8.157243634,5.286052106,3.61E-07,7.81E-07,4.894372481
U2SURP,0.455358001,4.726670795,5.281266385,3.70E-07,7.98E-07,4.995714692
RPL8,0.587729348,11.00116844,5.277256227,3.77E-07,8.13E-07,5.003568307
TIMM8B,0.577545508,6.176386286,5.271226478,3.87E-07,8.36E-07,4.718367475
HCCS,0.306798282,5.028467132,5.263184017,4.02E-07,8.66E-07,4.718932286
ELAVL1,0.230394803,5.107738502,5.255533876,4.17E-07,8.97E-07,4.661389399
NUTF2,0.342351168,6.178105254,5.255293618,4.18E-07,8.97E-07,4.645449707
PRMT1,0.381306839,6.107135431,5.245597102,4.37E-07,9.38E-07,4.599386683
SLC39A14,0.708952154,4.458615484,5.245008803,4.38E-07,9.40E-07,5.08663649
HNRNPU,0.34592968,6.116005726,5.239785995,4.49E-07,9.63E-07,4.573076465
IGLV2-28,1.59909034,4.061367414,5.231426209,4.67E-07,1.00E-06,5.363585954
RPL23A,0.440195562,7.495037304,5.230630891,4.69E-07,1.00E-06,4.599161016
NT5E,1.09135709,4.698621297,5.227988966,4.75E-07,1.02E-06,4.777671943
NT5C3A,0.452089396,4.758810429,5.226316229,4.79E-07,1.02E-06,4.716376993
TBCC,0.36886034,5.526065838,5.225799732,4.80E-07,1.02E-06,4.502797943
HID1,0.600574071,4.948384929,5.221676233,4.89E-07,1.04E-06,4.563846079
RIOK1,0.394062794,4.771416061,5.21916489,4.95E-07,1.06E-06,4.673212245
ANGPTL4,1.334878886,4.90444654,5.210845241,5.14E-07,1.10E-06,4.539060203
TXNRD1,1.02086,6.743184512,5.209604631,5.17E-07,1.10E-06,4.458320472
TMEM167A,0.322718893,6.250228134,5.200793073,5.39E-07,1.15E-06,4.398872216
UBE2V2,0.346898884,4.721921154,5.198586559,5.45E-07,1.16E-06,4.622782618
TRIM28,0.407477367,7.461835898,5.198440499,5.45E-07,1.16E-06,4.450542861
