probe	avg_expr_SC	avg_expr_SNC	avg_expr_NS	fdr_SC_NS	ttest_SC_NS	fdr_SNC_NS	ttest_SNC_NS	gene
91816_f_at	4.9	5.42	4.78	0.033	0.001	0.729	0.493	MEX3D
211943_x_at	12.02	12.23	12.82	0.128	0.012	0.043	0.001	TPT1
209693_at	4.47	4.44	5.89	0.018	0	0.027	0	ASTN2
201502_s_at	9.04	8.91	9.8	0.037	0.001	0.079	0.005	NFKBIA
218808_at	5.14	5.07	6.13	0.022	0	0.048	0.002	DALRD3
208922_s_at	7.48	7.6	8.2	0.041	0.001	0.043	0.001	NXF1
221215_s_at	8.65	8.52	9.06	0.005	0	0.053	0.002	RIPK4
217938_s_at	8.99	8.79	8.58	0.238	0.043	0.043	0.001	KCMF1
221646_s_at	5.38	6.25	7.84	0.051	0.002	0.01	0	ZDHHC11
215085_x_at	8.07	8.38	9.01	0.123	0.011	0.047	0.002	DLEC1
210858_x_at	6.53	6.36	5.94	0.271	0.056	0.091	0.007	ATM
219044_at	6.72	6.17	7.13	0.043	0.001	0.199	0.033	THNSL2
201369_s_at	6.02	6.08	7.09	0.09	0.006	0.082	0.005	ZFP36L2
218898_at	7.52	7.07	6.82	0.291	0.066	0.011	0	FAM57A
203944_x_at	7.03	7.37	7.73	0.16	0.019	0.023	0	BTN2A1
210094_s_at	7.32	6.9	7.73	0.03	0.001	0.261	0.057	PARD3
219922_s_at	5.83	5.59	7.08	0.004	0	0.035	0.001	LTBP3
218831_s_at	7.54	7.44	8.33	0.059	0.003	0.157	0.02	FCGRT
208300_at	6.03	6.33	4.88	0.089	0.006	0.155	0.019	PTPRH
205345_at	4.71	5	6.35	0.005	0	0.007	0	BARD1
60528_at	8.39	8.13	8.52	0.087	0.006	0.656	0.395	LOC100137047-PLA2G4B
212557_at	5.9	6.19	6.59	0.265	0.054	0.075	0.004	ZNF451
201289_at	6.31	5.4	4.43	0.366	0.109	0.104	0.009	CYR61
221747_at	6.58	6.44	7.26	0.053	0.002	0.088	0.006	TNS1
208950_s_at	5.59	5.95	6.66	0.145	0.016	0.09	0.007	ALDH7A1
202442_at	8.27	8.22	7.85	0.285	0.063	0.057	0.002	AP3S1
215031_x_at	6.29	6.31	6.98	0.033	0.001	0.026	0	RNF126
218095_s_at	5.93	6.39	5.41	0.078	0.005	0.415	0.145	TMEM165
208117_s_at	6.99	6.33	7.36	0.079	0.005	0.534	0.252	LAS1L
218360_at	6.35	6.58	6.18	0.09	0.006	0.534	0.252	RAB22A
213476_x_at	10.52	10.73	11.21	0.195	0.029	0.075	0.004	TUBB3|MC1R
219248_at	5.83	6.04	6.21	0.375	0.115	0.065	0.003	THUMPD2
215892_at	4.46	4.64	5.45	0.184	0.026	0.095	0.007	ZNF440
211569_s_at	6.63	6.79	7.25	0.004	0	0.057	0.002	HADH
202859_x_at	8.92	8.98	7.7	0.089	0.006	0.114	0.011	IL8
218411_s_at	4.45	4.65	3.79	0.097	0.007	0.189	0.029	MBIP
201772_at	7.03	7.38	6.68	0.056	0.002	0.426	0.154	AZIN1
200038_s_at	10.96	10.99	11.51	0.078	0.005	0.096	0.008	RPL17
201358_s_at	9.78	9.55	9.13	0.2	0.03	0.05	0.002	COPB1
201318_s_at	9.75	9.97	10.74	0.201	0.031	0.09	0.006	MRLC2|MRCL3
218176_at	6.4	6.74	7.33	0.144	0.016	0.08	0.005	MAGEF1
216955_at	6.19	5.3	6.48	0.028	0.001	0.585	0.308	TAF1
219241_x_at	7.34	7.33	7.84	0.002	0	0.041	0.001	SSH3
213030_s_at	6.65	6.4	7.18	0.021	0	0.045	0.001	PLXNA2
204021_s_at	5.91	6.17	6.95	0.197	0.029	0.087	0.006	PURA
202826_at	7.91	8.14	8.7	0.128	0.012	0.062	0.003	SPINT1
209106_at	4.99	5.62	6.2	0.16	0.019	0.053	0.002	NCOA1
218274_s_at	6.78	6.55	7.19	0.042	0.001	0.347	0.102	ANKZF1
216346_at	2.54	2.68	6.27	0.014	0	0.017	0	SEC14L3
219635_at	6.65	6.61	7.14	0.04	0.001	0.055	0.002	ZNF606
214175_x_at	8.21	7.61	8.38	0.037	0.001	0.703	0.456	PDLIM4
218012_at	7.45	7.13	7.77	0.045	0.002	0.275	0.062	TSPYL2
202435_s_at	5.53	6.85	4.07	0.009	0	0.124	0.013	CYP1B1
212285_s_at	8.27	8.23	8.84	0.026	0.001	0.046	0.001	AGRN
211320_s_at	7.57	7.58	8.52	0.032	0.001	0.037	0.001	PTPRU
205452_at	6.21	6.16	5.7	0.123	0.011	0.087	0.006	PIGB
212001_at	6.9	7.19	7.65	0.066	0.003	0.017	0	SFRS14
217975_at	7.19	7.19	6.21	0.103	0.008	0.096	0.008	WBP5
210505_at	7.4	8.06	6.63	0.022	0	0.18	0.026	ADH7
201439_at	7.04	7.13	7.5	0.124	0.011	0.064	0.003	GBF1
209541_at	4.32	4.78	3.55	0.104	0.008	0.301	0.073	IGF1
201786_s_at	8.87	9.17	9.67	0.07	0.004	0.014	0	ADAR
204033_at	8.28	8.38	8.95	0.025	0	0.024	0	TRIP13
215418_at	6.87	7.01	7.68	0.075	0.004	0.04	0.001	PARVA
220390_at	8.12	8.35	8.95	0.025	0	0.05	0.002	AGBL2
212954_at	5.93	6.07	6.88	0.036	0.001	0.031	0	DYRK4
209149_s_at	7.29	7.16	6.82	0.113	0.009	0.032	0.001	TM9SF1
202167_s_at	6.63	6.69	7.22	0.093	0.007	0.087	0.006	MMS19
220218_at	5	4.61	5.59	0.059	0.003	0.217	0.04	C9orf68
212639_x_at	12.3	12.45	12.84	0.228	0.04	0.083	0.006	TUBA1B
201904_s_at	6.71	6.31	7.16	0.005	0	0.157	0.02	CTDSPL
220419_s_at	7.19	7.13	6.87	0.157	0.018	0.091	0.007	USP25
219511_s_at	6.57	6.32	7.1	0.031	0.001	0.169	0.023	SNCAIP
208956_x_at	8.82	8.42	8.42	0.978	0.946	0.096	0.008	DUT
212121_at	7.62	7.76	8	0.08	0.005	0.096	0.008	TCTN3
208898_at	9.25	8.97	8.54	0.148	0.017	0.034	0.001	ATP6V1D
50314_i_at	4.78	4.99	5.97	0.125	0.012	0.07	0.004	C20orf27
210129_s_at	6.37	6.65	7.55	0.004	0	0.017	0	TTLL3
221743_at	8.37	8.46	8.95	0.043	0.001	0.026	0	CUGBP1
212796_s_at	7.47	6.96	7.54	0.04	0.001	0.801	0.607	TBC1D2B
207367_at	7.92	8.38	8.72	0.372	0.113	0.066	0.003	ATP12A
218254_s_at	7.06	6.94	6.23	0.216	0.036	0.048	0.002	SAR1B
204447_at	7.26	7.12	7.74	0.01	0	0.055	0.002	ProSAPiP1
212901_s_at	5.22	5.52	6.29	0.129	0.012	0.051	0.002	CSTF2T
209538_at	6.63	6.47	7.06	0.074	0.004	0.05	0.002	ZNF32
202257_s_at	7.48	7.29	7.73	0.031	0.001	0.318	0.085	CD2BP2
200781_s_at	11.37	11.53	12.12	0.141	0.015	0.073	0.004	RPS15A
213460_x_at	6.56	6.66	7.43	0.066	0.003	0.078	0.005	NSUN5C
201724_s_at	7.4	7.31	6.73	0.128	0.012	0.079	0.005	GALNT1
212042_x_at	11.19	10.94	11.42	0.047	0.002	0.49	0.209	RPL7
211719_x_at	3.68	5.12	3.29	0.093	0.007	0.745	0.516	FN1
200844_s_at	9.13	9.11	9.69	0.079	0.005	0.169	0.023	PRDX6
209012_at	4.53	4.92	5.43	0.201	0.031	0.034	0.001	TRIO
217842_at	5.24	5.11	5.94	0.052	0.002	0.108	0.01	LUC7L2
64438_at	6.44	6.11	5.84	0.375	0.115	0.069	0.004	FLJ22222
212572_at	6.92	6.65	6.11	0.357	0.102	0.086	0.006	STK38L
205812_s_at	9.85	9.62	9.36	0.33	0.086	0.09	0.007	TMED9
200019_s_at	11.37	11.29	11.91	0.078	0.005	0.126	0.013	FAU
200916_at	10.34	9.94	9.3	0.234	0.041	0.069	0.004	TAGLN2
218051_s_at	5.44	5.49	6.2	0.028	0.001	0.048	0.002	NT5DC2
212646_at	6.98	6.92	7.71	0.055	0.002	0.075	0.004	RFTN1
208581_x_at	10.07	10.01	11.02	0.007	0	0.018	0	MT1X
202296_s_at	8.24	8.44	8.01	0.076	0.004	0.41	0.141	RER1
203455_s_at	10.45	10.26	9.72	0.142	0.015	0.081	0.005	SAT1
209276_s_at	7.41	7.95	7.91	0.914	0.812	0.081	0.005	GLRX
201118_at	7.38	8.04	6.93	0.042	0.001	0.51	0.227	PGD
202245_at	7.56	7.58	8.01	0.096	0.007	0.082	0.005	LSS
205258_at	7.62	7.35	8.56	0.007	0	0.027	0	INHBB
201394_s_at	7.42	7.7	8.34	0.058	0.003	0.024	0	RBM5
222089_s_at	6.02	6.02	6.8	0.065	0.003	0.194	0.031	C16orf71
219461_at	6.22	5.97	6.62	0.032	0.001	0.325	0.088	PAK6
221923_s_at	9.14	8.91	8.53	0.219	0.037	0.055	0.002	NPM1
207435_s_at	8.12	8.25	8.67	0.182	0.025	0.091	0.007	SRRM2
50277_at	9.96	9.81	10.21	0.07	0.004	0.308	0.078	GGA1
218607_s_at	7.42	7.3	6.98	0.233	0.041	0.104	0.009	SDAD1
222122_s_at	6.24	6.32	6.76	0.142	0.015	0.087	0.006	THOC2
217133_x_at	4.9	5.43	6.01	0.292	0.066	0.056	0.002	CYP2B6
219583_s_at	5.6	4.65	5.65	0.079	0.005	0.935	0.85	SPATA7
212757_s_at	6.23	6.43	6.92	0.173	0.022	0.054	0.002	CAMK2G
205406_s_at	9.62	9.4	8.97	0.267	0.054	0.094	0.007	SPA17
209578_s_at	6.62	6.9	7.22	0.226	0.039	0.035	0.001	POFUT2
213721_at	7.99	8.22	8.62	0.246	0.047	0.07	0.004	SOX2
222220_s_at	8.56	8.34	8.7	0.1	0.007	0.607	0.332	TSNAXIP1
59999_at	6.53	6.3	6.73	0.098	0.007	0.452	0.176	HIF1AN
212573_at	7.32	7.15	7.01	0.549	0.264	0.082	0.005	ENDOD1
203954_x_at	8.22	8.34	9.02	0.118	0.01	0.075	0.004	CLDN3
201906_s_at	7.63	7.17	7.58	0.033	0.001	0.868	0.723	CTDSPL
207808_s_at	7.23	7.16	8.65	0.013	0	0.079	0.005	PROS1
212936_at	7.06	6.78	6.62	0.731	0.491	0.101	0.008	FAM172A
210519_s_at	10.66	10.99	9.61	0.002	0	0.018	0	NQO1
200759_x_at	9.49	9.19	8.87	0.398	0.129	0.102	0.008	NFE2L1
208306_x_at	10.72	11.43	11.73	0.52	0.233	0.038	0.001	HLA-DRB1
201298_s_at	6.86	7.12	6.44	0.058	0.003	0.181	0.027	MOBKL1B
209987_s_at	5	4.5	6.09	0.011	0	0.059	0.003	ASCL1
219542_at	7.98	7.91	8.3	0.049	0.002	0.172	0.024	NEK11
218414_s_at	8.05	7.85	8.37	0.047	0.002	0.33	0.091	NDE1
220755_s_at	7.89	8.08	8.79	0.055	0.002	0.058	0.002	C6orf48
200731_s_at	5.97	6.34	5.65	0.078	0.005	0.455	0.178	PTP4A1
204177_s_at	6.24	6.31	6.57	0.308	0.075	0.082	0.005	KLHL20
220647_s_at	6.31	6.64	7.02	0.194	0.028	0.027	0	CHCHD8
204028_s_at	8.24	8.08	8.42	0.055	0.002	0.271	0.061	RABGAP1
215693_x_at	8.53	8.28	7.95	0.308	0.075	0.082	0.005	DDX27
212094_at	2.75	4.03	4.89	0.149	0.017	0.006	0	PEG10
214058_at	7.58	7.14	7.66	0.026	0.001	0.72	0.481	MYCL1
201561_s_at	8.94	8.95	9.4	0.103	0.008	0.13	0.014	CLSTN1
216396_s_at	7.9	7.84	7.07	0.045	0.002	0.031	0	EI24
212885_at	5.65	5.9	6.52	0.14	0.015	0.078	0.005	MPHOSPH10
201115_at	7.5	7.48	7.94	0.097	0.007	0.109	0.01	POLD2
219960_s_at	6.18	6.36	5.75	0.066	0.003	0.261	0.056	UCHL5
220202_s_at	5.81	6.36	5.87	0.09	0.006	0.887	0.757	RC3H2
208729_x_at	10.77	11.37	12.09	0.129	0.012	0.009	0	HLA-B
217853_at	5.36	5.45	6.63	0.005	0	0.033	0.001	TNS3
203824_at	10.25	10.5	9.9	0.08	0.005	0.387	0.126	TSPAN8
55705_at	10.24	9.94	9.61	0.202	0.031	0.059	0.003	C19orf22
221290_s_at	4.95	4.56	5.47	0.05	0.002	0.204	0.035	MUM1
216268_s_at	7.2	6.57	6.27	0.658	0.385	0.096	0.007	JAG1
202501_at	6.8	6.95	6.3	0.066	0.003	0.16	0.021	MAPRE2
213266_at	6.92	6.96	7.41	0.061	0.003	0.047	0.002	TUBGCP4
91952_at	5.87	5.86	6.61	0.098	0.007	0.099	0.008	LOC90379
218139_s_at	6.85	6.69	6.22	0.201	0.031	0.087	0.006	C14orf108
202399_s_at	8.23	7.98	7.79	0.491	0.207	0.096	0.008	AP3S2
213185_at	8.57	8.75	9.06	0.073	0.004	0.009	0	KIAA0556
205012_s_at	6.56	6.66	7.45	0.065	0.003	0.048	0.002	HAGH
221951_at	5.51	5.59	6.27	0.061	0.003	0.067	0.003	TMEM80
209489_at	8.24	8.22	8.65	0.006	0	0.02	0	CUGBP1
201597_at	10.69	10.52	9.9	0.077	0.004	0.044	0.001	COX7A2
213988_s_at	9.8	10.06	8.8	0.078	0.005	0.077	0.005	SAT1
208861_s_at	7.69	7.5	7.19	0.355	0.101	0.103	0.009	ATRX|LOC728849
209380_s_at	8.17	8.21	8.66	0.025	0	0.009	0	ABCC5
201844_s_at	7.76	7.48	6.94	0.255	0.05	0.091	0.007	RYBP
212201_at	5.44	5.78	6.38	0.113	0.009	0.024	0	ANKLE2
206559_x_at	12.94	13.18	14.02	0.146	0.016	0.07	0.004	EEF1A1
200940_s_at	7.65	7.95	8.31	0.091	0.006	0.163	0.022	RERE
203622_s_at	6.58	6.6	6.16	0.079	0.005	0.131	0.014	PNO1
205441_at	7.2	7.17	7.61	0.072	0.004	0.17	0.024	OCEL1
205513_at	9.25	9.17	7.26	0.003	0	0.003	0	TCN1
203407_at	8.19	8.19	8.77	0.078	0.005	0.276	0.063	PPL
218097_s_at	8.27	8.05	8.45	0.084	0.005	0.423	0.153	CUEDC2
203140_at	8.68	8.7	9.23	0.092	0.007	0.101	0.008	BCL6
207760_s_at	8.4	8.13	8.98	0.002	0	0.029	0	NCOR2
201921_at	7.87	7.44	7.05	0.28	0.06	0.037	0.001	GNG10|LOC552891
218552_at	7.7	7.77	8.59	0.003	0	0.005	0	ECHDC2
218921_at	6.65	6.67	7.53	0.015	0	0.051	0.002	SIGIRR
211732_x_at	4.74	5.06	5.71	0.229	0.04	0.091	0.007	HNMT
219517_at	7.51	7.21	6.35	0.075	0.004	0.032	0.001	ELL3
205349_at	7.12	7.17	6.59	0.067	0.003	0.078	0.005	GNA15
201217_x_at	12.67	12.58	13.2	0.07	0.004	0.111	0.01	RPL3
214198_s_at	6.96	6.58	7.27	0.03	0.001	0.326	0.088	DGCR2
205417_s_at	8.18	8.14	8.54	0.077	0.004	0.091	0.007	DAG1
218383_at	7.29	7.47	7.92	0.009	0	0.041	0.001	C14orf94
207177_at	6.1	5.28	6.68	0.026	0.001	0.394	0.131	PTGFR
212869_x_at	13.12	13.29	13.98	0.153	0.018	0.077	0.005	TPT1
201525_at	7.6	7.52	8.72	0.011	0	0.025	0	APOD
203464_s_at	5.96	5.84	6.89	0.014	0	0.032	0.001	EPN2
218138_at	6.51	6.72	7.28	0.063	0.003	0.078	0.005	MKKS
205623_at	10.64	11.69	9.9	0.017	0	0.36	0.11	ALDH3A1
202336_s_at	8.79	8.68	7.93	0.083	0.005	0.076	0.004	PAM
202054_s_at	8.37	8.42	9.15	0.034	0.001	0.091	0.007	ALDH3A2
205790_at	7.22	7.13	7.62	0.07	0.004	0.167	0.022	SKAP1
212335_at	6.63	6.39	5.87	0.322	0.082	0.071	0.004	GNS
204453_at	5.13	5.38	5.93	0.218	0.036	0.089	0.006	ZNF84
217804_s_at	7.86	7.87	8.37	0.023	0	0.029	0	ILF3
221577_x_at	7.38	7.45	6.44	0.102	0.008	0.114	0.011	GDF15
205328_at	8.43	9.24	7.48	0.001	0	0.082	0.005	CLDN10
204174_at	6.92	7.53	6.65	0.043	0.001	0.512	0.23	ALOX5AP
219454_at	6.71	6.61	5.98	0.123	0.011	0.087	0.006	EGFL6
211034_s_at	6.89	6.87	7.41	0.002	0	0.019	0	C12orf51
201928_at	6.97	6.87	7.47	0.001	0	0.005	0	PKP4
209205_s_at	7.87	8.27	8.82	0.28	0.06	0.08	0.005	LMO4
208798_x_at	6.66	7.17	7.83	0.078	0.005	0.009	0	GOLGA8A
203830_at	3.51	3.59	4.54	0.123	0.011	0.087	0.006	C17orf75
212401_s_at	7.11	7.09	7.55	0.059	0.003	0.075	0.004	CDC2L2
203694_s_at	7.32	7.46	7.74	0.17	0.022	0.041	0.001	DHX16
213629_x_at	8.83	8.53	9.39	0.018	0	0.096	0.008	MT1F
54037_at	3.78	4.18	5.25	0.069	0.004	0.025	0	HPS4
211995_x_at	11.81	12.22	12.69	0.32	0.081	0.055	0.002	ACTG1
212828_at	6.18	6	5.58	0.356	0.102	0.06	0.003	SYNJ2
209129_at	7.44	7.45	8.31	0.019	0	0.032	0.001	TRIP6
203802_x_at	6.87	6.91	7.52	0.053	0.002	0.182	0.027	NSUN5
201154_x_at	11.45	11.36	12.12	0.09	0.006	0.12	0.012	RPL4
201000_at	8.72	8.74	9.07	0.049	0.002	0.04	0.001	AARS
202813_at	6.25	6.18	6.9	0.026	0.001	0.09	0.006	TARBP1
212443_at	5.44	5.47	6.35	0.083	0.005	0.088	0.006	NBEAL2
217838_s_at	6.64	6.81	7.59	0.003	0	0	0	EVL
205202_at	7.38	7.12	6.55	0.238	0.043	0.095	0.007	PCMT1
220911_s_at	6.84	6.83	7.86	0.001	0	0.032	0.001	KIAA1305
213217_at	7.57	7.2	8.06	0.03	0.001	0.203	0.034	ADCY2
218487_at	4.76	4.89	5.88	0.036	0.001	0.061	0.003	ALAD
200798_x_at	6.88	7.2	6.07	0.004	0	0.039	0.001	MCL1
217388_s_at	5.43	6.35	5.44	0.09	0.006	0.988	0.969	KYNU
209140_x_at	12.26	12.47	12.78	0.336	0.09	0.059	0.003	HLA-B
218993_at	6.66	6.52	7.06	0.065	0.003	0.148	0.018	RNMTL1
216593_s_at	4.9	5.44	5.94	0.308	0.075	0.055	0.002	PIGC
200631_s_at	8.88	9.08	9.55	0.099	0.007	0.056	0.002	SET
200885_at	8.55	8.46	7.96	0.157	0.018	0.095	0.007	RHOC
213296_at	7.45	7.31	7.89	0.018	0	0.067	0.003	RER1
218974_at	7.75	7.25	8.05	0.005	0	0.271	0.06	SOBP
212266_s_at	8.9	9.07	9.3	0.235	0.042	0.074	0.004	SFRS5
209706_at	8.89	8.49	7.87	0.235	0.042	0.068	0.003	NKX3-1
219928_s_at	6.51	6.77	5.83	0.079	0.005	0.192	0.031	CABYR
203901_at	4.55	4.5	5.58	0.069	0.004	0.087	0.006	MAP3K7IP1
203467_at	7.37	7.02	8.01	0.017	0	0.114	0.011	PMM1
217758_s_at	8.33	8.31	7.48	0.083	0.005	0.075	0.004	TM9SF3
214705_at	3.76	4.32	4.92	0.18	0.025	0.037	0.001	INADL
200061_s_at	11.85	11.82	12.45	0.092	0.006	0.089	0.006	RPS24
206765_at	7.05	7.14	7.62	0.083	0.005	0.166	0.022	KCNJ2
219063_at	6	6.2	6.69	0.21	0.034	0.086	0.006	C1orf35
218539_at	7.91	8.27	7.72	0.083	0.005	0.548	0.268	FBXO34
205740_s_at	7.52	7.35	7.99	0.041	0.001	0.136	0.015	RBM42
212971_at	11.17	10.69	10.41	0.315	0.079	0.04	0.001	CARS
221246_x_at	6.18	6.13	6.83	0.057	0.003	0.068	0.003	TNS1
219429_at	7.43	7.36	6.85	0.103	0.008	0.07	0.004	FA2H
200031_s_at	12.04	11.94	12.41	0.088	0.006	0.114	0.011	RPS11
209484_s_at	7.71	7.35	7.26	0.755	0.529	0.096	0.007	NSL1
220262_s_at	6.79	6.58	7.85	0.004	0	0.017	0	DLK2
213934_s_at	3.49	3.97	5	0.025	0.001	0.014	0	ZNF19|ZNF23
212992_at	8.6	8.05	8.79	0.051	0.002	0.651	0.387	AHNAK2
219067_s_at	6.04	6.29	6.91	0.047	0.002	0.026	0	NSMCE4A
213842_x_at	8.24	8	8.79	0.079	0.005	0.304	0.075	NSUN5C
208270_s_at	8.39	8.57	9.03	0.085	0.005	0.04	0.001	RNPEP
222030_at	6.53	6.38	6.98	0.055	0.002	0.147	0.017	SIVA1
211666_x_at	11.28	11.37	12.03	0.073	0.004	0.071	0.004	RPL3
217835_x_at	9.62	9.65	9.24	0.108	0.009	0.085	0.006	C20orf24
200026_at	11.78	11.71	12.21	0.074	0.004	0.108	0.01	RPL34
213680_at	6.96	6.66	5.95	0.095	0.007	0.017	0	KRT6B
201591_s_at	8.69	8.45	8.88	0.022	0	0.306	0.077	NISCH
205097_at	7.41	7.4	6.19	0.023	0	0.018	0	SLC26A2
213540_at	7.78	7.53	8.02	0.07	0.004	0.379	0.121	HSD17B8
214239_x_at	6.52	6.28	6.93	0.015	0	0.214	0.038	PCGF2
219906_at	4.5	4.85	5.88	0.03	0.001	0.038	0.001	FLJ10213
204478_s_at	7	6.88	6.4	0.113	0.009	0.045	0.001	RABIF
206104_at	7.06	6.5	7.12	0.052	0.002	0.883	0.75	ISL1
221748_s_at	7.84	7.39	7.95	0.049	0.002	0.723	0.484	TNS1
201894_s_at	6.8	7.38	6.92	0.09	0.006	0.827	0.654	SSR1
